Date,TotalCases,TotalDeaths,GlobalDeathRate
2020-01-23,98,1,1.0200
2020-01-24,286,8,2.8000
2020-01-25,492,16,3.2500
2020-01-26,685,14,2.0400
2020-01-27,809,26,3.2100
2020-01-28,2651,49,1.8500
2020-01-29,589,2,0.3400
2020-01-30,2068,38,1.8400
2020-01-31,1692,42,2.4800
2020-02-01,2111,46,2.1800
2020-02-02,4749,103,2.1700
2020-02-03,3100,64,2.0600
2020-02-04,4011,66,1.6500
2020-02-05,3745,72,1.9200
2020-02-06,3160,70,2.2200
2020-02-07,3532,85,2.4100
2020-02-08,2734,87,3.1800
2020-02-09,3027,100,3.3000
2020-02-10,2538,107,4.2200
2020-02-11,2042,100,4.9000
2020-02-12,378,5,1.3200
2020-02-13,15153,253,1.6700
2020-02-14,6484,152,2.3400
2020-02-15,2076,143,6.8900
2020-02-16,2113,104,4.9200
2020-02-17,1936,98,5.0600
2020-02-18,1794,140,7.8000
2020-02-19,421,115,27.3200
2020-02-20,547,123,22.4900
2020-02-21,629,4,0.6400
2020-02-22,1761,207,11.7500
2020-02-23,323,10,3.1000
2020-02-24,564,160,28.3700
2020-02-25,853,80,9.3800
2020-02-26,963,60,6.2300
2020-02-27,1360,43,3.1600
2020-02-28,1386,57,4.1100
2020-02-29,1891,69,3.6500
2020-03-01,2381,54,2.2700
2020-03-02,1983,89,4.4900
2020-03-03,2593,75,2.8900
2020-03-04,2308,95,4.1200
2020-03-05,2811,94,3.3400
2020-03-06,3913,111,2.8400
2020-03-07,4095,104,2.5400
2020-03-08,3949,239,6.0500
2020-03-09,4172,190,4.5500
2020-03-10,4822,274,5.6800
2020-03-11,7661,343,4.4800
2020-03-12,5790,306,5.2800
2020-03-13,14384,496,3.4500
2020-03-14,11074,420,3.7900
2020-03-15,11269,636,5.6400
2020-03-16,14808,683,4.6100
2020-03-17,15943,813,5.1000
2020-03-18,19559,906,4.6300
2020-03-19,27049,1111,4.1100
2020-03-20,30775,1486,4.8300
2020-03-21,31991,1721,5.3800
2020-03-22,34855,1686,4.8400
2020-03-23,42835,1949,4.5500
2020-03-24,41179,2288,5.5600
2020-03-25,51001,2810,5.5100
2020-03-26,62877,3035,4.8300
2020-03-27,65041,3488,5.3600
2020-03-28,67278,3730,5.5400
2020-03-29,59237,3519,5.9400
2020-03-30,65294,4081,6.2500
2020-03-31,76845,4748,6.1800
2020-04-01,82801,5995,7.2400
2020-04-02,83060,5887,7.0900
2020-04-03,83559,6161,7.3700
2020-04-04,58363,5914,10.1300
2020-04-05,72592,5188,7.1500
2020-04-06,73155,5938,8.1200
2020-04-07,69831,8258,11.8300
2020-04-08,83378,6811,8.1700
2020-04-09,87014,7784,8.9500
2020-04-10,85534,7378,8.6300
2020-04-11,74283,6172,8.3100
2020-04-12,119696,5859,4.8900
2020-04-13,70742,5966,8.4300
2020-04-14,84011,6968,8.2900
2020-04-15,77114,8473,10.9900
2020-04-16,95531,7259,7.6000
2020-04-17,87997,8393,9.5400
2020-04-18,77240,6145,7.9600
2020-04-19,76605,5233,6.8300
2020-04-20,76018,5871,7.7200
2020-04-21,75749,7273,9.6000
2020-04-22,81247,6864,8.4500
2020-04-23,84249,6828,8.1000
2020-04-24,84096,6770,8.0500
2020-04-25,82259,5628,6.8400
2020-04-26,71588,3979,5.5600
2020-04-27,70192,4746,6.7600
2020-04-28,75540,6578,8.7100
2020-04-29,77110,6725,8.7200
2020-04-30,83495,5841,7.0000
2020-05-01,88376,5151,5.8300
2020-05-02,79200,5495,6.9400
2020-05-03,76373,3511,4.6000
2020-05-04,77689,4212,5.4200
2020-05-05,80502,5823,7.2300
2020-05-06,90028,6505,7.2300
2020-05-07,88706,5310,5.9900
2020-05-08,90279,5552,6.1500
2020-05-09,85223,4225,4.9600
2020-05-10,74976,3559,4.7500
2020-05-11,76631,3486,4.5500
2020-05-12,84491,5485,6.4900
2020-05-13,84980,5132,6.0400
2020-05-14,96231,5169,5.3700
2020-05-15,95732,5221,5.4500
2020-05-16,94439,4176,4.4200
2020-05-17,78022,3187,4.0800
2020-05-18,89167,3763,4.2200
2020-05-19,96775,4647,4.8000
2020-05-20,101878,4779,4.6900
2020-05-21,106644,4659,4.3700
2020-05-22,106422,5244,4.9300
2020-05-23,104804,3926,3.7500
2020-05-24,94211,3016,3.2000
2020-05-25,86717,1212,1.4000
2020-05-26,93967,4242,4.5100
2020-05-27,102762,5055,4.9200
2020-05-28,119283,4552,3.8200
2020-05-29,120903,4608,3.8100
2020-05-30,136515,4024,2.9500
2020-05-31,106408,2692,2.5300
2020-06-01,95995,3073,3.2000
