Location,Population,HighestInfection,PercentPopulationInfected
Andorra,77265,13232,17.1300
Montenegro,628062,97389,15.5100
Czechia,10708982,1630758,15.2300
"San Marino",33938,5066,14.9300
Slovenia,2078932,240292,11.5600
Luxembourg,625976,67205,10.7400
Bahrain,1701583,176934,10.4000
Serbia,6804596,689557,10.1300
"United States",331002647,32346971,9.7700
Israel,8655541,838481,9.6900
Sweden,10099270,973604,9.6400
Estonia,1326539,122019,9.2000
Lithuania,2722291,247269,9.0800
Netherlands,17134873,1522973,8.8900
Belgium,11589616,990229,8.5400
Panama,4314768,364576,8.4500
France,68147687,5677835,8.3300
Portugal,10196707,836493,8.2000
Croatia,4105268,332183,8.0900
Hungary,9660350,779348,8.0700
Georgia,3989175,310310,7.7800
Lebanon,6825442,526578,7.7100
Liechtenstein,38137,2926,7.6700
Switzerland,8654618,659974,7.6300
Spain,46754783,3524077,7.5400
Cyprus,875899,65233,7.4500
Poland,37846605,2792142,7.3800
"North Macedonia",2083380,152367,7.3100
Armenia,2963234,216064,7.2900
Qatar,2881060,205652,7.1400
Slovakia,5459643,382211,7.0000
Jordan,10203140,711373,6.9700
Brazil,212559409,14659011,6.9000
Austria,9006400,618870,6.8700
Malta,441539,30292,6.8600
Italy,60461828,4022653,6.6500
Argentina,45195777,2977363,6.5900
"United Kingdom",67886004,4432246,6.5300
Kuwait,4270563,273991,6.4200
Latvia,1886202,118558,6.2900
Chile,19116209,1198245,6.2700
Monaco,39244,2454,6.2500
Moldova,4033963,250837,6.2200
"Bosnia and Herzegovina",3280815,198461,6.0500
Seychelles,98340,5873,5.9700
Bulgaria,6948445,404380,5.8200
Palestine,5101416,296462,5.8100
Turkey,84339067,4820591,5.7200
Uruguay,3473727,198428,5.7100
Colombia,50882884,2859724,5.6200
Maldives,540542,29835,5.5200
Romania,19237682,1055265,5.4900
Peru,32971846,1799445,5.4600
Kosovo,1932774,103638,5.3600
"United Arab Emirates",9890400,520236,5.2600
Ireland,4937796,248870,5.0400
"Costa Rica",5094114,250991,4.9300
Ukraine,43733759,2124070,4.8600
Albania,2877800,131085,4.5600
Denmark,5792203,251249,4.3400
"Cape Verde",555988,23882,4.3000
Germany,83783945,3405365,4.0600
Paraguay,7132530,279077,3.9100
Belarus,9449321,358738,3.8000
Oman,5106622,193253,3.7800
Vatican,809,27,3.3400
Greece,10423056,345033,3.3100
Russia,145934460,4750755,3.2600
Canada,37742157,1228367,3.2500
Belize,397621,12668,3.1900
Azerbaijan,10139175,319109,3.1500
Iran,83992953,2499077,2.9800
"South Africa",59308690,1581210,2.6700
Bahamas,393248,10453,2.6600
Iraq,40222503,1065199,2.6500
Tunisia,11818618,309119,2.6200
Bolivia,11673029,303732,2.6000
Libya,6871287,177508,2.5800
"Saint Lucia",183629,4552,2.4800
"Dominican Republic",10847904,266561,2.4600
Ecuador,17643060,381862,2.1600
Honduras,9904608,212333,2.1400
Norway,5421242,112970,2.0800
Botswana,2351625,46934,2.0000
Kazakhstan,18776707,375539,2.0000
Iceland,341250,6472,1.9000
Namibia,2540916,48351,1.9000
Mexico,128932753,2344755,1.8200
Suriname,586634,10363,1.7700
Guyana,786559,13283,1.6900
"Saint Vincent and the Grenadines",110947,1864,1.6800
Eswatini,1160164,18458,1.5900
Finland,5540718,86808,1.5700
Jamaica,2961161,45578,1.5400
Kyrgyzstan,6524191,95275,1.4600
India,1380004385,19164969,1.3900
Morocco,36910558,511249,1.3900
Barbados,287371,3855,1.3400
Guatemala,17915567,227671,1.2700
"Antigua and Barbuda",97928,1232,1.2600
Malaysia,32365998,408713,1.2600
"Saudi Arabia",34813867,417363,1.2000
Mongolia,3278292,37285,1.1400
Djibouti,988002,11100,1.1200
Nepal,29136808,323187,1.1100
"El Salvador",6486201,69198,1.0700
"Sao Tome and Principe",219161,2302,1.0500
Singapore,5850343,61145,1.0500
Gabon,2225728,23075,1.0400
Philippines,109581085,1037460,0.9500
Cuba,11326616,106707,0.9400
"Trinidad and Tobago",1399491,10824,0.7700
Venezuela,28435943,197683,0.7000
Indonesia,273523621,1668368,0.6100
"Equatorial Guinea",1402985,7694,0.5500
"Sri Lanka",21413250,108146,0.5100
Lesotho,2142252,10731,0.5000
Zambia,18383956,91586,0.5000
Japan,126476458,593264,0.4700
Bangladesh,164689383,759132,0.4600
Comoros,869595,3834,0.4400
Mauritania,4649660,18402,0.4000
Pakistan,220892331,825519,0.3700
Ghana,31072945,92562,0.3000
Kenya,53771300,159318,0.3000
Algeria,43851043,122108,0.2800
Cameroon,26545864,72250,0.2700
Uzbekistan,33469199,90808,0.2700
Myanmar,54409794,142817,0.2600
Zimbabwe,14862927,38257,0.2600
Dominica,71991,174,0.2400
Gambia,2416664,5898,0.2400
Senegal,16743930,40344,0.2400
"South Korea",51269183,122634,0.2400
Egypt,102334403,227552,0.2200
Ethiopia,114963583,257442,0.2200
Mozambique,31255435,69917,0.2200
Congo,5518092,10678,0.1900
Guinea-Bissau,1967998,3734,0.1900
Rwanda,12952209,25116,0.1900
Malawi,19129955,34078,0.1800
"Cote d'Ivoire",26378275,46036,0.1700
Guinea,13132792,22215,0.1700
Timor,1318442,2276,0.1700
Togo,8278737,12967,0.1600
Afghanistan,38928341,59745,0.1500
Bhutan,771612,1074,0.1400
Grenada,112519,160,0.1400
Tajikistan,9537642,13308,0.1400
"Central African Republic",4829764,6411,0.1300
Madagascar,27691019,37014,0.1300
Syria,17500657,22733,0.1300
Australia,25499881,29811,0.1200
"Papua New Guinea",8947027,10997,0.1200
Haiti,11402533,13056,0.1100
Eritrea,3546427,3671,0.1000
Mauritius,1271767,1209,0.1000
Nicaragua,6624554,6898,0.1000
Somalia,15893219,13915,0.0900
"South Sudan",11193729,10583,0.0900
Thailand,69799978,65153,0.0900
Uganda,45741000,41866,0.0900
Angola,32866268,26652,0.0800
Cambodia,16718971,13402,0.0800
Nigeria,206139587,165110,0.0800
"Saint Kitts and Nevis",53192,44,0.0800
Sudan,43849269,33944,0.0800
Mali,20250834,13858,0.0700
Benin,12123198,7821,0.0600
"Burkina Faso",20903278,13310,0.0600
Brunei,437483,224,0.0500
"New Zealand",4822233,2613,0.0500
"Sierra Leone",7976985,4054,0.0500
Liberia,5057677,2099,0.0400
Burundi,11890781,3995,0.0300
Chad,16425859,4817,0.0300
"Democratic Republic of Congo",89561404,29853,0.0300
Niger,24206636,5228,0.0200
Yemen,29825968,6317,0.0200
China,1439323774,102494,0.0100
Fiji,896444,117,0.0100
Laos,7275556,757,0.0100
"Marshall Islands",59194,4,0.0100
"Micronesia (country)",115021,1,0.0000
Samoa,198410,3,0.0000
"Solomon Islands",686878,20,0.0000
Taiwan,23816775,1128,0.0000
Tanzania,59734213,509,0.0000
Vanuatu,307150,4,0.0000
Vietnam,97338583,2928,0.0000
